base_player(84): __init__ [INFO] (Day 0): middle primary Planner initialized with params
one_player(79): simulate [INFO] (Day 1): True state: S, believes himself to be 100% healthy, and has a net utility of 1.20, (percentage infected = 0.01%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 2): True state: S, believes himself to be 92% healthy, and has a net utility of 2.40, (percentage infected = 0.01%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 3): True state: S, believes himself to be 100% healthy, and has a net utility of 3.43, (percentage infected = 0.01%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 4): True state: S, believes himself to be 100% healthy, and has a net utility of 4.63, (percentage infected = 0.01%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 5): True state: S, believes himself to be 100% healthy, and has a net utility of 5.83, (percentage infected = 0.01%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 6): True state: S, believes himself to be 100% healthy, and has a net utility of 7.03, (percentage infected = 0.01%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 7): True state: S, believes himself to be 100% healthy, and has a net utility of 8.23, (percentage infected = 0.01%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 8): True state: S, believes himself to be 97% healthy, and has a net utility of 9.43, (percentage infected = 0.02%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 9): True state: S, believes himself to be 87% healthy, and has a net utility of 10.57, (percentage infected = 0.02%, work risk = 0.002%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 10): True state: S, believes himself to be 88% healthy, and has a net utility of 11.49, (percentage infected = 0.02%, work risk = 0.002%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 11): True state: S, believes himself to be 100% healthy, and has a net utility of 12.42, (percentage infected = 0.02%, work risk = 0.002%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 12): True state: S, believes himself to be 100% healthy, and has a net utility of 13.62, (percentage infected = 0.02%, work risk = 0.002%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 13): True state: S, believes himself to be 87% healthy, and has a net utility of 14.82, (percentage infected = 0.02%, work risk = 0.002%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 14): True state: S, believes himself to be 90% healthy, and has a net utility of 15.75, (percentage infected = 0.03%, work risk = 0.002%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 15): True state: S, believes himself to be 93% healthy, and has a net utility of 16.73, (percentage infected = 0.03%, work risk = 0.003%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 16): True state: S, believes himself to be 91% healthy, and has a net utility of 17.78, (percentage infected = 0.03%, work risk = 0.003%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 17): True state: S, believes himself to be 90% healthy, and has a net utility of 18.79, (percentage infected = 0.03%, work risk = 0.003%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 18): True state: S, believes himself to be 100% healthy, and has a net utility of 19.77, (percentage infected = 0.04%, work risk = 0.003%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 19): True state: S, believes himself to be 94% healthy, and has a net utility of 20.97, (percentage infected = 0.04%, work risk = 0.003%, home risk = 0.000%)
